Source,Target,Type,Id,Label,Weight,batchname
twidoggie,ooof,Directed,8069,,1,ooof_2
twidone,ooof,Directed,8070,,1,ooof_2
twimor,ooof,Directed,8071,,1,ooof_2
twtui,ooof,Directed,8072,,1,ooof_2
twxw,wuzhiwo,Directed,8073,,1,wuzhiwo_2
txyyss,wuzhiwo,Directed,8074,,1,wuzhiwo_2
tyim,ooof,Directed,8075,,1,ooof_2
tyn2008,wangxm,Directed,8076,,1,wangxm_2
tzhg,wuzhiwo,Directed,8077,,1,wuzhiwo_2
tzstudio,waffler22,Directed,8079,,1,waffler22_2
tzstudio,ooof,Directed,8078,,1,ooof_2
tzyu,ooof,Directed,8080,,1,ooof_2
uanon,ooof,Directed,8081,,1,ooof_2
ucaanc,ooof,Directed,8082,,1,ooof_2
udbippl,waffler22,Directed,8083,,1,waffler22_2
ue_ty_jinshan,waffler22,Directed,8084,,1,waffler22_2
uitony,ooof,Directed,8085,,1,ooof_2
uk_toptv,ooof,Directed,8086,,1,ooof_2
umbuffet,ooof,Directed,8087,,1,ooof_2
uncle1914,wuzhiwo,Directed,8088,,1,wuzhiwo_2
unclegates,waffler22,Directed,8089,,1,waffler22_2
unclepandora,waffler22,Directed,8090,,1,waffler22_2
uniqun2009,ooof,Directed,8091,,1,ooof_2
unovus,wuzhiwo,Directed,8092,,1,wuzhiwo_2
uoion,ooof,Directed,8093,,1,ooof_2
upd,wuzhiwo,Directed,8094,,1,wuzhiwo_2
uplovecity,ooof,Directed,8095,,1,ooof_2
uplovecity,wuzhiwo,Directed,8096,,1,wuzhiwo_2
upperr,waffler22,Directed,8097,,1,waffler22_2
usassh,ooof,Directed,8098,,1,ooof_2
uu_mo,ooof,Directed,8099,,1,ooof_2
uyshare,waffler22,Directed,8101,,1,waffler22_2
uyshare,ooof,Directed,8100,,1,ooof_2
uyshare,wuzhiwo,Directed,8102,,1,wuzhiwo_2
uyy,wangxm,Directed,8103,,1,wangxm_2
v88x,waffler22,Directed,8104,,1,waffler22_2
Valerianatt,wangxm,Directed,8107,,1,wangxm_2
valley521,ooof,Directed,8108,,1,ooof_2
vanvan,ooof,Directed,8109,,1,ooof_2
vcgtimes,wuzhiwo,Directed,8110,,1,wuzhiwo_2
venevision,wangxm,Directed,8111,,1,wangxm_2
veraucio,wuzhiwo,Directed,8112,,1,wuzhiwo_2
VeryDarkTime,wangxm,Directed,8113,,1,wangxm_2
veryfocus,ooof,Directed,8114,,1,ooof_2
veryfocus,wangxm,Directed,8115,,1,wangxm_2
veteranli,ooof,Directed,8116,,1,ooof_2
Victoria9l8d,wangxm,Directed,8117,,1,wangxm_2
victorzhang226,waffler22,Directed,8119,,1,waffler22_2
victorzhang226,ooof,Directed,8118,,1,ooof_2
victor_king,ooof,Directed,8120,,1,ooof_2
vincent4j,ooof,Directed,8121,,1,ooof_2
vincent9258,ooof,Directed,8122,,1,ooof_2
vincentlean,ooof,Directed,8123,,1,ooof_2
vincentleung91,ooof,Directed,8124,,1,ooof_2
vinesay,waffler22,Directed,8125,,1,waffler22_2
vintonsong,ooof,Directed,8126,,1,ooof_2
vision181,waffler22,Directed,8127,,1,waffler22_2
vision181,wangxm,Directed,8128,,1,wangxm_2
vivianwubeijing,ooof,Directed,8130,,1,ooof_2
vivianyanz,ooof,Directed,8131,,1,ooof_2
vividolphin,ooof,Directed,8132,,1,ooof_2
vjension,wangxm,Directed,8133,,1,wangxm_2
voachinese,ooof,Directed,8134,,1,ooof_2
Vokeez,wangxm,Directed,8135,,1,wangxm_2
vonsis,waffler22,Directed,8136,,1,waffler22_2
vpn_60peryear,wuzhiwo,Directed,8137,,1,wuzhiwo_2
vvchn,ooof,Directed,8138,,1,ooof_2
vverniphone,ooof,Directed,8139,,1,ooof_2
vwin88,wuzhiwo,Directed,8140,,1,wuzhiwo_2
wangshuo,ooof,Directed,8424,,1,ooof_2
wangwater,waffler22,Directed,8425,,1,waffler22_2
weiba,waffler22,Directed,8997,,1,waffler22_2
wh1735,waffler22,Directed,9028,,1,waffler22_2
windyye,waffler22,Directed,9043,,1,waffler22_2
wishyu,waffler22,Directed,9047,,1,waffler22_2
wzx0727,waffler22,Directed,9588,,1,waffler22_2
xdp1999,waffler22,Directed,9595,,1,waffler22_2
xiaolai,wuzhiwo,Directed,9615,,1,wuzhiwo_2
xiyyes,waffler22,Directed,9678,,1,waffler22_2
yqz,ooof,Directed,9842,,1,ooof_2
zashi_,waffler22,Directed,9900,,1,waffler22_2
zhangjialong,waffler22,Directed,9921,,1,waffler22_2
zokio,waffler22,Directed,10008,,1,waffler22_2
zokio,wuzhiwo,Directed,10009,,1,wuzhiwo_2
zzyzxd,waffler22,Directed,10044,,1,waffler22_2
